Data,Venit (pe zi)
02.11.2019,303
06.09.2019,717
30.06.2016,698
16.09.2017,307
03.01.2018,609
01.07.2018,328
26.07.2017,626
26.04.2016,746
26.07.2016,1054
19.05.2018,969
01.04.2017,396
09.02.2017,1088
22.11.2016,1369
26.09.2018,303
16.01.2018,601
14.09.2016,1198
28.08.2019,683
26.10.2016,894
08.10.2017,287
11.03.2019,821
04.02.2017,282
28.08.2016,1158
22.02.2019,1257
20.04.2017,1354
22.08.2018,1173
04.08.2018,1019
24.06.2016,1108
11.06.2016,845
10.01.2016,1237
21.05.2018,1198
21.04.2017,858
22.10.2019,1347
02.12.2019,663
21.10.2017,1335
30.03.2016,288
07.01.2018,765
07.04.2019,599
29.10.2018,1303
02.08.2019,960
01.08.2018,660
01.05.2019,999
27.07.2017,1288
11.10.2019,305
15.02.2016,377
06.05.2019,906
01.03.2019,956
25.10.2018,530
20.05.2016,907
08.12.2016,581
10.06.2017,286
30.03.2018,1123
20.07.2016,421
13.08.2019,363
25.12.2019,1327
02.02.2016,1021
09.01.2019,691
02.05.2019,253
14.05.2017,1173
15.12.2018,1182
06.06.2019,1238
22.11.2016,1087
24.07.2016,631
27.06.2017,1068
04.01.2017,626
16.02.2016,548
09.10.2017,1309
31.03.2017,1217
29.05.2016,593
02.09.2018,347
05.04.2019,964
28.06.2016,801
05.09.2017,743
21.04.2016,308
02.11.2018,1083
30.10.2017,369
11.11.2016,1194
26.04.2018,807
18.08.2018,1186
30.05.2016,269
06.04.2017,597
19.01.2019,926
23.07.2016,1262
07.05.2019,713
26.01.2018,369
12.07.2016,1102
18.10.2017,623
25.06.2017,379
20.05.2016,921
14.12.2019,871
20.02.2016,1257
27.11.2019,477
16.03.2019,1056
28.05.2017,813
17.06.2016,563
10.04.2016,1081
01.06.2019,1083
13.04.2018,769
30.10.2018,743
28.12.2018,1306
10.05.2017,843
07.06.2018,1133
03.12.2016,929
11.06.2019,1122
14.07.2016,1232
24.05.2018,770
11.04.2016,851
30.11.2019,706
28.09.2019,643
16.07.2017,953
13.09.2019,1226
14.06.2019,1199
15.03.2017,699
19.03.2018,583
29.11.2016,415
08.10.2018,1344
27.05.2019,570
06.05.2017,1018
03.10.2017,638
21.06.2017,792
08.08.2016,240
21.05.2019,1223
02.10.2016,734
19.04.2017,1220
27.11.2017,447
13.12.2016,1039
24.05.2019,1181
23.02.2016,770
12.03.2017,1226
22.07.2018,286
07.02.2016,1130
05.09.2017,989
05.06.2018,1183
19.03.2019,607
02.03.2018,644
13.03.2017,1387
03.08.2017,245
19.09.2016,1164
03.03.2017,979
26.09.2019,362
15.09.2018,1374
03.02.2017,973
17.01.2018,1217
19.09.2016,316
18.03.2016,1000
06.03.2017,364
29.02.2016,879
19.09.2018,1275
20.10.2018,1011
26.09.2018,1138
14.08.2017,945
01.11.2017,574
07.10.2016,1275
13.03.2019,1263
12.12.2016,369
19.08.2019,845
01.03.2019,1137
07.05.2017,352
27.05.2017,568
11.03.2016,1092
10.12.2016,803
24.08.2019,347
08.01.2017,820
11.04.2018,658
25.09.2018,277
18.11.2016,1199
30.10.2019,1230
07.09.2018,730
12.12.2016,713
17.09.2016,514
14.07.2017,558
25.04.2019,508
23.04.2016,655
04.10.2017,497
15.07.2019,963
04.09.2019,1127
22.11.2019,390
27.10.2017,888
13.07.2018,764
04.08.2017,1317
02.07.2016,979
30.08.2018,705
27.05.2017,752
15.05.2017,447
14.12.2016,750
27.02.2018,580
03.07.2018,546
07.08.2018,1105
24.05.2016,1038
14.06.2018,1013
10.12.2016,289
08.10.2016,1261
29.10.2019,375
12.04.2019,1363
01.11.2018,1217
01.01.2019,659
25.06.2018,1132
18.08.2016,809
02.03.2019,1105
19.04.2018,1309
31.08.2017,596
18.08.2019,1060
08.08.2017,437
29.01.2019,355
02.01.2019,464
03.03.2017,331
28.06.2016,434
12.04.2019,781
29.10.2016,1092
22.06.2017,917
14.06.2019,270
20.05.2016,376
07.12.2018,978
04.01.2019,511
21.03.2016,753
12.01.2018,1299
09.06.2017,284
06.12.2017,806
18.07.2019,1320
09.04.2018,783
24.07.2017,331
20.09.2016,544
22.01.2019,339
30.06.2018,985
29.07.2018,261
03.04.2017,891
03.06.2018,432
13.07.2016,394
10.08.2016,1115
05.03.2018,1073
07.02.2017,836
31.03.2016,897
17.07.2017,813
17.02.2016,268
07.02.2019,759
24.05.2016,765
04.03.2019,707
21.06.2017,504
21.04.2017,1312
22.10.2019,638
14.12.2018,367
17.12.2016,1265
08.12.2017,1318
19.06.2017,855
07.05.2018,1114
06.03.2019,416
19.03.2018,520
07.09.2017,364
25.08.2018,604
19.08.2019,549
12.09.2019,1141
07.10.2017,1382
06.02.2019,306
21.08.2017,253
25.04.2017,578
01.10.2019,927
09.12.2017,1377
31.10.2019,854
19.11.2019,1196
08.05.2018,954
01.06.2016,1294
21.10.2016,831
13.02.2017,875
17.12.2019,257
12.07.2019,1321
14.07.2018,960
12.05.2019,434
13.10.2016,882
24.08.2017,386
18.11.2017,484
27.11.2018,843
15.03.2016,797
05.09.2016,1196
26.10.2019,1204
24.01.2019,567
17.12.2018,644
04.12.2017,628
09.10.2019,534
14.11.2017,989
28.05.2018,568
08.01.2019,285
06.07.2018,511
25.11.2016,1007
31.01.2019,935
14.02.2018,386
14.06.2019,1110
09.03.2017,1091
30.05.2019,957
10.12.2018,813
20.07.2016,1289
30.04.2016,705
20.02.2017,1070
29.10.2016,1345
10.05.2016,605
17.01.2017,1097
03.02.2016,1185
04.07.2016,541
21.02.2018,819
25.10.2018,1323
09.05.2016,303
23.08.2018,315
27.08.2016,533
29.07.2018,1048
08.11.2016,902
31.08.2017,1254
10.11.2016,451
12.07.2017,1165
14.09.2017,1147
19.07.2016,337
28.02.2018,1317
15.01.2017,945
11.05.2017,717
16.08.2019,512
10.05.2018,1296
06.06.2019,645
19.03.2019,290
04.06.2016,727
27.03.2017,565
11.05.2017,694
06.05.2019,499
09.07.2019,824
09.08.2016,727
04.02.2016,1350
31.01.2016,854
18.08.2017,1020
07.05.2019,589
14.07.2017,963
23.10.2016,1039
22.11.2019,1033
29.07.2017,1050
15.05.2018,650
10.09.2016,1095
20.04.2018,1060
22.08.2017,313
11.07.2019,1037
28.09.2017,1400
28.09.2017,636
28.06.2017,1145
26.12.2016,620
03.12.2016,451
10.06.2017,1281
27.07.2019,787
28.12.2016,1369
07.02.2017,393
16.10.2018,911
02.07.2018,542
03.05.2016,879
30.09.2019,1266
13.05.2017,1388
05.07.2019,852
17.04.2017,298
17.04.2017,1112
28.08.2019,393
29.08.2019,810
02.02.2017,848
04.09.2016,1280
17.11.2018,393
25.06.2017,505
20.07.2018,1003
09.03.2018,1077
09.02.2017,887
01.07.2017,634
20.01.2019,1323
18.10.2018,427
07.01.2018,918
10.11.2016,482
18.02.2019,413
17.07.2017,946
05.06.2018,721
26.08.2018,739
08.05.2018,644
11.06.2016,1152
16.12.2016,892
08.05.2016,671
02.05.2019,993
23.11.2017,433
10.02.2019,1068
21.10.2016,1070
19.02.2017,1022
07.09.2018,1337
04.01.2016,1294
16.01.2017,766
26.01.2016,780
05.08.2016,1208
30.05.2019,1170
17.06.2016,507
01.02.2018,620
22.01.2018,560
23.02.2016,734
10.09.2017,675
10.05.2016,575
20.03.2016,514
15.08.2019,461
08.01.2018,279
07.12.2019,664
18.02.2018,1024
16.09.2018,1027
04.08.2016,1068
03.06.2016,1152
09.03.2019,363
08.03.2018,454
13.11.2017,727
20.02.2017,530
19.03.2019,501
20.02.2019,552
01.06.2019,980
22.06.2018,940
15.04.2017,1363
25.02.2018,364
04.09.2018,398
11.01.2019,824
13.02.2018,571
10.02.2016,1075
22.02.2017,1024
23.01.2017,1285
08.02.2016,1292
29.11.2018,418
15.07.2018,1052
10.03.2019,397
23.09.2016,464
17.12.2019,993
07.02.2018,857
19.03.2016,1259
05.04.2017,914
24.09.2019,408
04.02.2019,1085
19.07.2017,1225
28.07.2017,494
27.03.2016,674
30.05.2019,560
15.09.2017,722
19.03.2019,771
25.04.2017,968
22.04.2016,711
13.02.2019,1036
12.01.2018,827
23.07.2019,397
20.01.2019,1150
03.03.2016,880
20.09.2019,263
05.06.2016,474
30.10.2016,806
06.08.2018,825
29.11.2016,663
11.03.2017,1073
26.02.2018,1343
09.11.2017,874
12.10.2019,789
02.07.2018,1235
25.02.2018,491
30.11.2019,1347
22.08.2016,692
26.10.2018,394
27.09.2019,1119
15.03.2017,1078
18.08.2016,327
21.11.2016,954
11.07.2018,1390
27.05.2018,1125
06.07.2016,1286
29.11.2017,1177
21.02.2016,272
27.07.2019,881
18.06.2016,1031
22.05.2019,753
28.05.2016,313
26.05.2016,597
14.01.2017,689
10.05.2018,839
14.07.2019,578
28.02.2016,1061
11.09.2018,243
01.10.2019,532
23.08.2019,1075
28.10.2016,338
04.06.2018,817
18.06.2018,356
13.04.2016,1359
10.01.2018,827
10.03.2016,1037
07.05.2017,1077
30.05.2017,1299
25.05.2017,271
28.03.2019,1083
15.04.2016,887
10.06.2017,420
19.07.2019,957
12.07.2017,357
30.12.2019,688
13.08.2016,242
27.02.2016,1228
06.07.2017,876
12.01.2017,602
22.12.2018,907
23.08.2017,299
27.11.2016,702
30.08.2018,319
15.10.2017,738
26.06.2016,968
22.03.2016,1326
17.11.2016,406
13.09.2017,993
22.03.2018,512
12.06.2018,953
16.03.2016,432
13.12.2017,1149
13.08.2016,685
01.06.2018,1337
11.01.2017,243
18.11.2017,519
14.11.2017,1039
04.08.2016,382
17.03.2017,416
20.04.2019,456
24.06.2018,1251
07.10.2019,1244
15.07.2019,1284
07.01.2017,1385
07.03.2016,1194
28.08.2018,858
06.08.2018,516
08.12.2017,874
23.08.2017,700
04.01.2016,340
15.02.2018,1191
05.01.2017,968
12.04.2016,1078
23.07.2017,446
31.05.2016,309
25.07.2018,886
31.03.2019,303
04.01.2017,856
15.12.2017,916
10.01.2016,1363
08.08.2018,866
27.02.2016,1242
14.01.2016,864
07.02.2016,1130
23.05.2016,859
25.09.2019,460
02.04.2018,698
02.06.2017,623
17.06.2016,998
24.09.2016,1282
06.06.2019,586
21.07.2018,778
29.10.2018,1162
01.11.2019,1277
28.10.2019,1035
11.10.2018,345
26.08.2019,1296
16.09.2017,269
03.08.2016,241
24.10.2019,1243
22.03.2019,1049
16.09.2019,671
10.05.2018,1194
24.06.2018,278
30.10.2016,820
22.06.2018,733
23.01.2019,488
10.08.2016,1281
18.02.2019,951
01.12.2016,1088
16.05.2018,1309
12.03.2018,890
29.11.2019,600
06.09.2016,992
01.05.2018,358
28.11.2016,437
24.05.2018,322
30.08.2016,1290
24.12.2017,817
23.01.2019,895
16.12.2017,920
13.10.2017,951
08.08.2018,446
11.04.2016,325
26.05.2017,306
27.08.2016,1291
19.07.2016,322
11.02.2017,947
12.08.2017,1280
31.10.2017,1352
16.12.2019,354
05.01.2016,939
17.01.2016,1217
28.11.2017,791
25.07.2018,965
11.12.2016,789
23.05.2018,1003
23.11.2018,763
24.02.2017,967
15.06.2019,435
25.06.2018,908
31.10.2016,789
18.09.2019,480
26.12.2017,1345
03.05.2017,1167
07.09.2018,284
12.07.2018,615
12.11.2016,249
07.05.2019,562
14.09.2017,731
09.09.2016,1205
29.10.2016,637
07.05.2018,644
03.06.2019,316
06.08.2018,382
17.12.2017,1154
31.10.2016,320
21.01.2016,962
01.10.2016,859
14.10.2018,694
11.12.2018,390
28.11.2018,752
25.06.2017,241
22.03.2018,474
23.05.2018,1364
22.06.2017,1243
27.10.2019,1048
15.02.2019,1299
24.04.2019,585
03.06.2019,950
29.06.2017,1146
04.09.2016,490
06.09.2019,433
20.11.2019,423
04.04.2016,668
05.03.2018,947
03.01.2019,514
17.12.2017,278
24.12.2019,1229
06.01.2019,634
22.08.2016,431
20.11.2018,1395
29.06.2018,269
21.07.2016,1030
07.09.2018,1237
01.03.2017,299
26.10.2019,1289
10.07.2017,1188
19.06.2018,1393
15.03.2016,707
14.12.2018,1398
19.06.2016,1266
08.11.2017,913
17.03.2018,686
19.02.2019,1172
28.11.2016,1100
25.10.2016,499
03.04.2016,1302
12.08.2019,270
18.04.2018,825
25.06.2017,817
21.03.2018,1149
11.12.2018,1231
05.08.2019,1025
11.02.2018,910
24.07.2018,1237
02.05.2016,652
26.09.2018,1190
15.03.2016,813
25.01.2018,718
18.09.2019,356
06.03.2016,466
28.07.2017,1005
15.10.2018,747
24.07.2017,601
20.06.2018,477
17.04.2017,1118
22.02.2017,863
14.06.2018,987
15.02.2016,830
23.04.2018,1044
12.07.2019,548
30.05.2017,410
04.06.2016,750
19.02.2017,819
21.09.2017,1221
23.07.2019,871
20.12.2018,716
26.07.2019,979
03.09.2019,415
30.11.2017,1086
07.10.2019,360
24.01.2017,1080
06.01.2017,721
02.04.2019,399
27.06.2019,830
05.04.2016,341
15.11.2017,1087
09.06.2019,1239
18.03.2017,282
19.12.2019,564
20.12.2018,1291
13.06.2018,1141
12.06.2018,580
04.04.2016,1288
08.05.2017,440
08.06.2019,743
12.02.2016,260
18.06.2016,431
08.04.2017,1358
16.01.2018,978
04.07.2017,1184
12.10.2019,1007
16.04.2017,668
12.10.2017,683
17.07.2018,1169
21.11.2017,349
20.08.2016,1074
08.04.2017,408
23.03.2017,661
03.02.2019,632
24.11.2018,437
17.03.2016,743
09.05.2017,952
15.05.2017,1121
14.10.2018,454
08.02.2019,640
11.09.2018,517
05.02.2016,446
20.12.2019,292
08.01.2019,570
21.03.2017,1141
28.05.2016,1376
31.08.2019,1110
10.05.2019,1213
22.04.2016,930
15.08.2019,1304
16.04.2018,1269
30.06.2019,1098
18.11.2017,781
08.07.2018,689
11.06.2018,361
16.10.2018,445
14.04.2017,383
20.06.2018,1196
29.01.2018,590
26.11.2019,525
02.10.2017,654
08.04.2016,757
22.03.2016,846
03.04.2016,389
02.04.2018,1114
14.01.2018,256
24.09.2017,873
02.08.2018,688
28.11.2019,1089
11.12.2019,702
22.02.2019,535
26.10.2019,481
26.03.2016,964
25.10.2016,888
16.01.2019,1225
04.03.2019,994
18.07.2016,1103
29.11.2018,516
22.02.2019,638
05.09.2016,499
07.11.2016,891
25.09.2016,288
12.11.2016,361
02.04.2016,1126
28.01.2019,350
05.07.2018,1041
17.05.2019,250
02.07.2016,561
02.12.2017,383
22.04.2019,1389
11.06.2016,1271
04.06.2019,1273
18.01.2019,677
04.07.2018,897
07.09.2019,1098
01.04.2018,895
26.04.2016,403
27.11.2019,265
05.09.2019,1121
28.11.2016,329
07.06.2016,923
04.01.2018,672
30.07.2017,1398
03.07.2017,1268
22.03.2018,866
07.11.2018,1386
01.07.2019,968
30.04.2016,1127
20.07.2017,1093
20.01.2017,1081
11.07.2019,430
20.07.2019,871
17.08.2017,796
14.04.2017,434
02.07.2018,259
06.06.2018,1052
14.02.2019,260
11.03.2016,439
16.05.2016,756
09.08.2016,1187
30.10.2017,944
06.01.2016,402
09.01.2018,1253
05.03.2018,1163
10.07.2019,368
18.02.2019,596
05.05.2017,1387
25.07.2017,475
04.10.2016,533
08.12.2019,655
17.09.2016,936
13.06.2018,1130
14.03.2017,719
09.06.2019,944
18.02.2016,898
13.06.2017,579
20.07.2019,1123
21.03.2018,973
25.02.2016,1245
30.09.2018,593
05.05.2016,465
